"","Chromosome","Position","Strand","OriginalValue","Rank","Value"
"11198","chromosome",243152,"+",0.7857,11198,0.7856994286
"11199","chromosome",390834,"-",0.7857,11199,0.7856994286
"11200","chromosome",611558,"+",0.7857,11200,0.7856994286
"11201","chromosome",663416,"+",0.7857,11201,0.7856994286
"11202","chromosome",893188,"+",0.7857,11202,0.7856994286
"11203","chromosome",1038094,"+",0.7857,11203,0.7856994286
"11204","chromosome",1287445,"-",0.7857,11204,0.7856994286
"11205","chromosome",1351201,"+",0.7857,11205,0.7856994286
"11206","chromosome",1373429,"+",0.7857,11206,0.7856994286
"11207","chromosome",1452321,"+",0.7857,11207,0.7856994286
"11208","chromosome",1759633,"-",0.7857,11208,0.7856994286
"11209","chromosome",1867220,"+",0.7857,11209,0.7856994286
"11210","chromosome",2025016,"+",0.7857,11210,0.7856994286
"11211","chromosome",2099218,"-",0.7857,11211,0.7856994286
"11212","chromosome",2459991,"+",0.7857,11212,0.7856994286
"11213","chromosome",2511349,"-",0.7857,11213,0.7856994286
"11214","chromosome",2560531,"-",0.7857,11214,0.7856994286
"11215","chromosome",2585191,"+",0.7857,11215,0.7856994286
"11216","chromosome",2970227,"+",0.7857,11216,0.7856994286
"11217","chromosome",3135012,"+",0.7857,11217,0.7856994286
"11218","chromosome",3225229,"+",0.7857,11218,0.7856994286
"11219","chromosome",3282215,"-",0.7857,11219,0.7856994286
"11220","chromosome",3343489,"+",0.7857,11220,0.7856994286
"11221","chromosome",3432799,"-",0.7857,11221,0.7856994286
"11222","chromosome",3938762,"-",0.7857,11222,0.7856994286
"11223","chromosome",4030833,"+",0.7857,11223,0.7856994286
"11224","chromosome",4110274,"+",0.7857,11224,0.7856994286
"11225","chromosome",4122845,"-",0.7857,11225,0.7856994286
"11226","chromosome",4435925,"-",0.7857,11226,0.7856994286
"11227","chromosome",4586933,"-",0.7857,11227,0.7856994286
"11228","chromosome",4604865,"+",0.7857,11228,0.7856994286
"11229","chromosome",4786198,"+",0.7857,11229,0.7856994286
"11230","chromosome",4840226,"+",0.7857,11230,0.7856994286
"11231","chromosome",5349507,"-",0.7857,11231,0.7856994286
"11232","chromosome",5376632,"+",0.7857,11232,0.7856994286
"11233","chromosome",5515815,"-",0.7857,11233,0.7856994286
"11234","chromosome",5679002,"-",0.7857,11234,0.7856994286
"11235","chromosome",5763788,"-",0.7857,11235,0.7856994286
"11236","chromosome",5791892,"+",0.7857,11236,0.7856994286
"11237","large.plasmid",34801,"-",0.7857,11237,0.7856994286
"11238","chromosome",186945,"-",0.7853,11238,0.7852994294
"11239","chromosome",1677782,"+",0.7853,11239,0.7852994294
"11240","chromosome",3785000,"-",0.7853,11240,0.7852994294
"11241","chromosome",4137228,"+",0.7853,11241,0.7852994294
"11242","chromosome",269564,"+",0.7852,11242,0.7851994296
"11243","chromosome",1613548,"-",0.7852,11243,0.7851994296
"11244","chromosome",1836004,"+",0.7852,11244,0.7851994296
"11245","chromosome",2326570,"+",0.7852,11245,0.7851994296
"11246","chromosome",3384631,"-",0.7852,11246,0.7851994296
"11247","chromosome",4720054,"+",0.7852,11247,0.7851994296
"11248","chromosome",5437360,"-",0.7852,11248,0.7851994296
"11249","chromosome",121916,"-",0.7851,11249,0.7850994298
"11250","chromosome",421750,"+",0.7851,11250,0.7850994298
"11251","chromosome",1385086,"+",0.7851,11251,0.7850994298
"11252","chromosome",1457735,"+",0.7851,11252,0.7850994298
"11253","chromosome",1567632,"+",0.7851,11253,0.7850994298
"11254","chromosome",2712457,"-",0.7851,11254,0.7850994298
"11255","chromosome",3402351,"-",0.7851,11255,0.7850994298
"11256","chromosome",4060769,"-",0.7851,11256,0.7850994298
"11257","chromosome",4337855,"+",0.7851,11257,0.7850994298
"11258","chromosome",4464977,"-",0.7851,11258,0.7850994298
"11259","chromosome",4759206,"-",0.7851,11259,0.7850994298
"11260","chromosome",5576395,"+",0.7851,11260,0.7850994298
"11261","large.plasmid",73509,"+",0.7851,11261,0.7850994298
"11262","chromosome",383429,"-",0.785,11262,0.78499943
"11263","chromosome",1384433,"+",0.785,11263,0.78499943
"11264","chromosome",1461968,"+",0.785,11264,0.78499943
"11265","chromosome",1515699,"+",0.785,11265,0.78499943
"11266","chromosome",2443318,"+",0.785,11266,0.78499943
"11267","chromosome",2895192,"-",0.785,11267,0.78499943
"11268","chromosome",3336612,"+",0.785,11268,0.78499943
"11269","chromosome",3825025,"+",0.785,11269,0.78499943
"11270","chromosome",5276972,"-",0.785,11270,0.78499943
"11271","chromosome",837933,"+",0.7849,11271,0.7848994302
"11272","chromosome",888346,"+",0.7849,11272,0.7848994302
"11273","chromosome",900904,"-",0.7849,11273,0.7848994302
"11274","chromosome",2051043,"-",0.7849,11274,0.7848994302
"11275","chromosome",3837880,"-",0.7849,11275,0.7848994302
"11276","chromosome",4168446,"+",0.7849,11276,0.7848994302
"11277","chromosome",4605336,"-",0.7849,11277,0.7848994302
"11278","chromosome",5725218,"+",0.7849,11278,0.7848994302
"11279","chromosome",2585190,"+",0.7848,11279,0.7847994304
"11280","chromosome",2882487,"-",0.7848,11280,0.7847994304
"11281","chromosome",3039964,"-",0.7848,11281,0.7847994304
"11282","chromosome",3222061,"-",0.7848,11282,0.7847994304
"11283","chromosome",3455015,"-",0.7848,11283,0.7847994304
"11284","chromosome",3477019,"-",0.7848,11284,0.7847994304
"11285","chromosome",3681825,"+",0.7848,11285,0.7847994304
"11286","chromosome",3946711,"+",0.7848,11286,0.7847994304
"11287","chromosome",4636471,"+",0.7847,11287,0.7846994306
"11288","chromosome",577340,"+",0.7846,11288,0.7845994308
"11289","chromosome",1671773,"+",0.7846,11289,0.7845994308
"11290","chromosome",4327870,"+",0.7846,11290,0.7845994308
"11291","chromosome",5280293,"+",0.7846,11291,0.7845994308
"11292","chromosome",3195,"-",0.7845,11292,0.784499431
"11293","chromosome",7338,"+",0.7845,11293,0.784499431
"11294","chromosome",364977,"+",0.7845,11294,0.784499431
"11295","chromosome",500028,"+",0.7845,11295,0.784499431
"11296","chromosome",594038,"+",0.7845,11296,0.784499431
"11297","chromosome",750122,"+",0.7845,11297,0.784499431
"11298","chromosome",3368595,"-",0.7845,11298,0.784499431
"11299","chromosome",3757038,"-",0.7845,11299,0.784499431
"11300","chromosome",4109887,"-",0.7845,11300,0.784499431
"11301","chromosome",5255291,"-",0.7845,11301,0.784499431
"11302","chromosome",5420704,"+",0.7845,11302,0.784499431
"11303","chromosome",1583111,"-",0.7844,11303,0.7843994312
"11304","chromosome",4748981,"+",0.7844,11304,0.7843994312
"11305","chromosome",4798656,"-",0.7844,11305,0.7843994312
"11306","chromosome",109147,"-",0.7843,11306,0.7842994314
"11307","chromosome",778111,"-",0.7843,11307,0.7842994314
"11308","chromosome",796678,"+",0.7843,11308,0.7842994314
"11309","chromosome",1515693,"+",0.7843,11309,0.7842994314
"11310","chromosome",2372482,"+",0.7843,11310,0.7842994314
"11311","chromosome",2860808,"+",0.7843,11311,0.7842994314
"11312","chromosome",3099397,"+",0.7843,11312,0.7842994314
"11313","chromosome",3101871,"-",0.7843,11313,0.7842994314
"11314","chromosome",3466868,"-",0.7843,11314,0.7842994314
"11315","chromosome",3576196,"-",0.7843,11315,0.7842994314
"11316","chromosome",3801858,"-",0.7843,11316,0.7842994314
"11317","chromosome",4105320,"+",0.7843,11317,0.7842994314
"11318","chromosome",4678707,"-",0.7843,11318,0.7842994314
"11319","chromosome",5258517,"-",0.7843,11319,0.7842994314
"11320","chromosome",5287915,"-",0.7843,11320,0.7842994314
"11321","chromosome",5420705,"+",0.7843,11321,0.7842994314
"11322","chromosome",5534137,"+",0.7843,11322,0.7842994314
"11323","chromosome",5604381,"-",0.7843,11323,0.7842994314
"11324","chromosome",80170,"+",0.7842,11324,0.7841994316
"11325","chromosome",4299697,"-",0.7842,11325,0.7841994316
"11326","chromosome",2172097,"-",0.7841,11326,0.7840994318
"11327","chromosome",2227976,"+",0.7841,11327,0.7840994318
"11328","chromosome",2677952,"+",0.7841,11328,0.7840994318
"11329","chromosome",2743861,"-",0.7841,11329,0.7840994318
"11330","chromosome",2835145,"+",0.7841,11330,0.7840994318
"11331","chromosome",3151906,"+",0.7841,11331,0.7840994318
"11332","chromosome",3747928,"+",0.7841,11332,0.7840994318
"11333","chromosome",4304772,"+",0.7841,11333,0.7840994318
"11334","chromosome",4524072,"-",0.7841,11334,0.7840994318
"11335","chromosome",545569,"-",0.784,11335,0.783999432
"11336","chromosome",587644,"+",0.784,11336,0.783999432
"11337","chromosome",1384703,"+",0.784,11337,0.783999432
"11338","chromosome",1808056,"+",0.784,11338,0.783999432
"11339","chromosome",3628198,"-",0.784,11339,0.783999432
"11340","chromosome",4693122,"+",0.784,11340,0.783999432
"11341","large.plasmid",58113,"+",0.784,11341,0.783999432
"11342","large.plasmid",42903,"+",0.7839,11342,0.7838994322
"11343","chromosome",246658,"+",0.7838,11343,0.7837994324
"11344","chromosome",382204,"-",0.7838,11344,0.7837994324
"11345","chromosome",728310,"+",0.7838,11345,0.7837994324
"11346","chromosome",1113430,"+",0.7838,11346,0.7837994324
"11347","chromosome",1682569,"+",0.7838,11347,0.7837994324
"11348","chromosome",2768772,"-",0.7838,11348,0.7837994324
"11349","chromosome",3303485,"+",0.7838,11349,0.7837994324
"11350","chromosome",3388275,"-",0.7838,11350,0.7837994324
"11351","chromosome",4056422,"+",0.7838,11351,0.7837994324
"11352","chromosome",4186072,"+",0.7838,11352,0.7837994324
"11353","chromosome",4496518,"-",0.7838,11353,0.7837994324
"11354","chromosome",1668556,"+",0.7836,11354,0.7835994328
"11355","chromosome",2203532,"+",0.7836,11355,0.7835994328
"11356","chromosome",2395032,"-",0.7836,11356,0.7835994328
"11357","chromosome",3133739,"+",0.7836,11357,0.7835994328
"11358","chromosome",3944113,"-",0.7836,11358,0.7835994328
"11359","chromosome",624249,"+",0.7835,11359,0.783499433
"11360","chromosome",1768844,"-",0.7835,11360,0.783499433
"11361","chromosome",2122222,"-",0.7835,11361,0.783499433
"11362","chromosome",2728480,"-",0.7835,11362,0.783499433
"11363","chromosome",3554244,"+",0.7835,11363,0.783499433
"11364","chromosome",3614574,"+",0.7835,11364,0.783499433
"11365","chromosome",4053236,"-",0.7835,11365,0.783499433
"11366","chromosome",4207669,"-",0.7835,11366,0.783499433
"11367","chromosome",5201387,"-",0.7835,11367,0.783499433
"11368","chromosome",5524712,"-",0.7834,11368,0.7833994332
"11369","chromosome",1013314,"+",0.7833,11369,0.7832994334
"11370","chromosome",1071860,"-",0.7833,11370,0.7832994334
"11371","chromosome",2665128,"-",0.7833,11371,0.7832994334
"11372","chromosome",3572253,"-",0.7833,11372,0.7832994334
"11373","chromosome",5383014,"+",0.7833,11373,0.7832994334
"11374","chromosome",5853607,"+",0.7833,11374,0.7832994334
"11375","chromosome",623746,"+",0.7832,11375,0.7831994336
"11376","chromosome",2373435,"+",0.7832,11376,0.7831994336
"11377","chromosome",3749872,"+",0.7832,11377,0.7831994336
"11378","chromosome",5906221,"-",0.7832,11378,0.7831994336
"11379","chromosome",1742346,"+",0.7831,11379,0.7830994338
"11380","chromosome",2437103,"-",0.7831,11380,0.7830994338
"11381","chromosome",5698262,"+",0.7831,11381,0.7830994338
"11382","chromosome",461318,"+",0.783,11382,0.782999434
"11383","chromosome",1998481,"-",0.783,11383,0.782999434
"11384","chromosome",2226093,"-",0.783,11384,0.782999434
"11385","chromosome",2908395,"-",0.783,11385,0.782999434
"11386","chromosome",3519348,"-",0.783,11386,0.782999434
"11387","chromosome",3565879,"-",0.783,11387,0.782999434
"11388","chromosome",3568089,"-",0.783,11388,0.782999434
"11389","chromosome",3899110,"+",0.783,11389,0.782999434
"11390","chromosome",3914097,"-",0.783,11390,0.782999434
"11391","chromosome",4732940,"+",0.783,11391,0.782999434
"11392","chromosome",188187,"-",0.7829,11392,0.7828994342
"11393","chromosome",4502485,"-",0.7829,11393,0.7828994342
"11394","chromosome",4910407,"-",0.7829,11394,0.7828994342
"11395","chromosome",5786478,"-",0.7829,11395,0.7828994342
"11396","chromosome",5800011,"+",0.7829,11396,0.7828994342
"11397","chromosome",502239,"+",0.7826,11397,0.7825994348
"11398","chromosome",614236,"+",0.7826,11398,0.7825994348
"11399","chromosome",1302420,"+",0.7826,11399,0.7825994348
"11400","chromosome",1960307,"-",0.7826,11400,0.7825994348
"11401","chromosome",2263585,"+",0.7826,11401,0.7825994348
"11402","chromosome",2288367,"+",0.7826,11402,0.7825994348
"11403","chromosome",2288706,"-",0.7826,11403,0.7825994348
"11404","chromosome",2880412,"+",0.7826,11404,0.7825994348
"11405","chromosome",2919961,"+",0.7826,11405,0.7825994348
"11406","chromosome",3056579,"-",0.7826,11406,0.7825994348
"11407","chromosome",3254593,"-",0.7826,11407,0.7825994348
"11408","chromosome",3741082,"-",0.7826,11408,0.7825994348
"11409","chromosome",4191717,"+",0.7826,11409,0.7825994348
"11410","chromosome",4804703,"-",0.7826,11410,0.7825994348
"11411","chromosome",5410215,"+",0.7826,11411,0.7825994348
"11412","chromosome",5690559,"-",0.7826,11412,0.7825994348
"11413","chromosome",559770,"-",0.7823,11413,0.7822994354
"11414","chromosome",1079339,"+",0.7823,11414,0.7822994354
"11415","chromosome",1669734,"+",0.7823,11415,0.7822994354
"11416","chromosome",1772830,"-",0.7823,11416,0.7822994354
"11417","chromosome",1814451,"+",0.7823,11417,0.7822994354
"11418","chromosome",4045169,"+",0.7823,11418,0.7822994354
"11419","chromosome",4093990,"-",0.7823,11419,0.7822994354
"11420","chromosome",4469889,"-",0.7823,11420,0.7822994354
"11421","chromosome",461533,"+",0.7822,11421,0.7821994356
"11422","chromosome",831410,"+",0.7822,11422,0.7821994356
"11423","chromosome",3462611,"-",0.7822,11423,0.7821994356
"11424","chromosome",3471381,"+",0.7822,11424,0.7821994356
"11425","chromosome",3869826,"-",0.7822,11425,0.7821994356
"11426","chromosome",3937720,"-",0.7822,11426,0.7821994356
"11427","chromosome",4419259,"-",0.7822,11427,0.7821994356
"11428","chromosome",5028196,"+",0.7822,11428,0.7821994356
"11429","chromosome",5034611,"-",0.7822,11429,0.7821994356
"11430","chromosome",5678510,"-",0.7822,11430,0.7821994356
"11431","chromosome",5805294,"+",0.7822,11431,0.7821994356
"11432","chromosome",805038,"+",0.7821,11432,0.7820994358
"11433","chromosome",1420885,"+",0.7821,11433,0.7820994358
"11434","chromosome",1484240,"-",0.7821,11434,0.7820994358
"11435","chromosome",2296442,"-",0.7821,11435,0.7820994358
"11436","chromosome",2660577,"-",0.7821,11436,0.7820994358
"11437","chromosome",3279154,"-",0.7821,11437,0.7820994358
"11438","chromosome",4778980,"+",0.7821,11438,0.7820994358
"11439","chromosome",5389452,"-",0.7821,11439,0.7820994358
"11440","chromosome",436760,"+",0.782,11440,0.781999436
"11441","chromosome",437232,"+",0.782,11441,0.781999436
"11442","chromosome",505304,"+",0.782,11442,0.781999436
"11443","chromosome",1237491,"+",0.782,11443,0.781999436
"11444","chromosome",2238910,"-",0.782,11444,0.781999436
"11445","chromosome",2437730,"-",0.782,11445,0.781999436
"11446","chromosome",2654809,"-",0.782,11446,0.781999436
"11447","chromosome",5576392,"+",0.782,11447,0.781999436
"11448","chromosome",692854,"+",0.7818,11448,0.7817994364
"11449","chromosome",982151,"-",0.7818,11449,0.7817994364
"11450","chromosome",1192504,"+",0.7818,11450,0.7817994364
"11451","chromosome",2040351,"-",0.7818,11451,0.7817994364
"11452","chromosome",3830797,"-",0.7818,11452,0.7817994364
"11453","chromosome",3846192,"-",0.7818,11453,0.7817994364
"11454","chromosome",4371528,"-",0.7818,11454,0.7817994364
"11455","chromosome",5119633,"+",0.7818,11455,0.7817994364
"11456","chromosome",400571,"-",0.7817,11456,0.7816994366
"11457","chromosome",4694365,"-",0.7817,11457,0.7816994366
"11458","chromosome",556678,"+",0.7816,11458,0.7815994368
"11459","chromosome",2674324,"+",0.7816,11459,0.7815994368
"11460","chromosome",3561882,"-",0.7816,11460,0.7815994368
"11461","chromosome",4947750,"+",0.7816,11461,0.7815994368
"11462","chromosome",4967800,"-",0.7816,11462,0.7815994368
"11463","chromosome",5098974,"+",0.7816,11463,0.7815994368
"11464","chromosome",427972,"-",0.7815,11464,0.781499437
"11465","chromosome",430407,"+",0.7815,11465,0.781499437
"11466","chromosome",431303,"-",0.7815,11466,0.781499437
"11467","chromosome",565404,"-",0.7815,11467,0.781499437
"11468","chromosome",1478028,"+",0.7815,11468,0.781499437
"11469","chromosome",2435601,"+",0.7815,11469,0.781499437
"11470","chromosome",2810492,"-",0.7815,11470,0.781499437
"11471","chromosome",4157437,"-",0.7815,11471,0.781499437
"11472","chromosome",4524767,"-",0.7815,11472,0.781499437
"11473","chromosome",4672994,"-",0.7815,11473,0.781499437
"11474","chromosome",4918935,"+",0.7815,11474,0.781499437
"11475","chromosome",5294534,"-",0.7815,11475,0.781499437
"11476","chromosome",194022,"-",0.7812,11476,0.7811994376
"11477","chromosome",227690,"+",0.7812,11477,0.7811994376
"11478","chromosome",356917,"-",0.7812,11478,0.7811994376
"11479","chromosome",494341,"-",0.7812,11479,0.7811994376
"11480","chromosome",573505,"+",0.7812,11480,0.7811994376
"11481","chromosome",1885584,"+",0.7812,11481,0.7811994376
"11482","chromosome",2042498,"+",0.7812,11482,0.7811994376
"11483","chromosome",2633980,"-",0.7812,11483,0.7811994376
"11484","chromosome",3127640,"+",0.7812,11484,0.7811994376
"11485","chromosome",3208856,"+",0.7812,11485,0.7811994376
"11486","chromosome",3328107,"-",0.7812,11486,0.7811994376
"11487","chromosome",3514277,"-",0.7812,11487,0.7811994376
"11488","chromosome",3744274,"-",0.7812,11488,0.7811994376
"11489","chromosome",4606427,"-",0.7812,11489,0.7811994376
"11490","chromosome",4822821,"-",0.7812,11490,0.7811994376
"11491","chromosome",5463235,"-",0.7812,11491,0.7811994376
"11492","chromosome",5583084,"-",0.7812,11492,0.7811994376
"11493","chromosome",3560568,"-",0.7811,11493,0.7810994378
"11494","chromosome",599802,"+",0.781,11494,0.780999438
"11495","chromosome",1677533,"+",0.781,11495,0.780999438
"11496","chromosome",1806920,"+",0.781,11496,0.780999438
"11497","chromosome",1809018,"+",0.781,11497,0.780999438
"11498","chromosome",2745141,"+",0.781,11498,0.780999438
"11499","chromosome",2757993,"+",0.781,11499,0.780999438
"11500","chromosome",3273310,"+",0.781,11500,0.780999438
"11501","chromosome",3324760,"-",0.781,11501,0.780999438
"11502","chromosome",3833550,"-",0.781,11502,0.780999438
"11503","chromosome",4155838,"-",0.781,11503,0.780999438
"11504","chromosome",4363520,"-",0.781,11504,0.780999438
"11505","chromosome",4910414,"-",0.781,11505,0.780999438
"11506","chromosome",5032157,"+",0.781,11506,0.780999438
"11507","chromosome",5354951,"-",0.781,11507,0.780999438
"11508","chromosome",5883745,"-",0.781,11508,0.780999438
"11509","chromosome",344692,"-",0.7808,11509,0.7807994384
"11510","chromosome",1583109,"+",0.7808,11510,0.7807994384
"11511","chromosome",2687686,"+",0.7808,11511,0.7807994384
"11512","chromosome",5116180,"-",0.7808,11512,0.7807994384
"11513","chromosome",5504446,"+",0.7808,11513,0.7807994384
"11514","chromosome",518733,"-",0.7807,11514,0.7806994386
"11515","chromosome",1124546,"-",0.7807,11515,0.7806994386
"11516","chromosome",1238299,"+",0.7807,11516,0.7806994386
"11517","chromosome",3774701,"+",0.7807,11517,0.7806994386
"11518","chromosome",3985754,"-",0.7807,11518,0.7806994386
"11519","chromosome",4656841,"-",0.7807,11519,0.7806994386
"11520","chromosome",1136743,"-",0.7806,11520,0.7805994388
"11521","chromosome",1373257,"-",0.7806,11521,0.7805994388
"11522","chromosome",2389634,"+",0.7806,11522,0.7805994388
"11523","chromosome",5299321,"+",0.7806,11523,0.7805994388
"11524","chromosome",769397,"-",0.7805,11524,0.780499439
"11525","chromosome",1253017,"+",0.7805,11525,0.780499439
"11526","chromosome",1538587,"+",0.7805,11526,0.780499439
"11527","chromosome",1564236,"+",0.7805,11527,0.780499439
"11528","chromosome",2059957,"+",0.7805,11528,0.780499439
"11529","chromosome",2443251,"-",0.7805,11529,0.780499439
"11530","chromosome",2724055,"+",0.7805,11530,0.780499439
"11531","chromosome",3028404,"-",0.7805,11531,0.780499439
"11532","chromosome",3392922,"+",0.7805,11532,0.780499439
"11533","chromosome",4469472,"-",0.7805,11533,0.780499439
"11534","chromosome",4579899,"-",0.7805,11534,0.780499439
"11535","chromosome",4651257,"+",0.7805,11535,0.780499439
"11536","chromosome",5392173,"-",0.7805,11536,0.780499439
"11537","chromosome",5553894,"+",0.7805,11537,0.780499439
"11538","chromosome",5599920,"+",0.7805,11538,0.780499439
"11539","chromosome",2831284,"-",0.7803,11539,0.7802994394
"11540","chromosome",5093132,"-",0.7803,11540,0.7802994394
"11541","chromosome",1372288,"+",0.7802,11541,0.7801994396
"11542","chromosome",1496778,"-",0.7802,11542,0.7801994396
"11543","chromosome",1821618,"-",0.7802,11543,0.7801994396
"11544","chromosome",2370267,"-",0.7802,11544,0.7801994396
"11545","chromosome",2700947,"-",0.7802,11545,0.7801994396
"11546","chromosome",3041149,"+",0.7802,11546,0.7801994396
"11547","chromosome",3360982,"-",0.7802,11547,0.7801994396
"11548","chromosome",3702520,"-",0.7802,11548,0.7801994396
"11549","chromosome",4719191,"-",0.7802,11549,0.7801994396
"11550","chromosome",5588219,"-",0.7802,11550,0.7801994396
"11551","chromosome",5807830,"+",0.7802,11551,0.7801994396
"11552","chromosome",871447,"-",0.7801,11552,0.7800994398
"11553","chromosome",3364616,"-",0.7801,11553,0.7800994398
"11554","chromosome",4540685,"+",0.7801,11554,0.7800994398
"11555","chromosome",4689562,"-",0.7801,11555,0.7800994398
"11556","chromosome",681952,"-",0.78,11556,0.77999944
"11557","chromosome",777824,"+",0.78,11557,0.77999944
"11558","chromosome",1404623,"+",0.78,11558,0.77999944
"11559","chromosome",1653789,"+",0.78,11559,0.77999944
"11560","chromosome",1681483,"-",0.78,11560,0.77999944
"11561","chromosome",2182726,"-",0.78,11561,0.77999944
"11562","chromosome",2372314,"+",0.78,11562,0.77999944
"11563","chromosome",2012286,"+",0.7799,11563,0.7798994402
"11564","large.plasmid",90029,"-",0.7799,11564,0.7798994402
"11565","chromosome",54143,"-",0.7798,11565,0.7797994404
"11566","chromosome",87902,"-",0.7798,11566,0.7797994404
"11567","chromosome",360657,"+",0.7798,11567,0.7797994404
"11568","chromosome",371189,"+",0.7798,11568,0.7797994404
"11569","chromosome",1128198,"+",0.7798,11569,0.7797994404
"11570","chromosome",1559135,"+",0.7798,11570,0.7797994404
"11571","chromosome",2502061,"-",0.7798,11571,0.7797994404
"11572","chromosome",4222965,"-",0.7798,11572,0.7797994404
"11573","chromosome",5473341,"-",0.7798,11573,0.7797994404
"11574","large.plasmid",34650,"+",0.7798,11574,0.7797994404
"11575","chromosome",201707,"-",0.7797,11575,0.7796994406
"11576","chromosome",807298,"+",0.7797,11576,0.7796994406
"11577","chromosome",957148,"-",0.7797,11577,0.7796994406
"11578","chromosome",2551421,"+",0.7797,11578,0.7796994406
"11579","chromosome",3649316,"-",0.7797,11579,0.7796994406
"11580","chromosome",4074171,"+",0.7797,11580,0.7796994406
"11581","chromosome",5716359,"+",0.7797,11581,0.7796994406
"11582","chromosome",1641192,"-",0.7795,11582,0.779499441
"11583","chromosome",2223553,"+",0.7795,11583,0.779499441
"11584","chromosome",2262466,"-",0.7795,11584,0.779499441
"11585","chromosome",4045904,"+",0.7795,11585,0.779499441
"11586","chromosome",5812583,"+",0.7795,11586,0.779499441
"11587","chromosome",5865316,"+",0.7795,11587,0.779499441
"11588","large.plasmid",101295,"-",0.7795,11588,0.779499441
"11589","chromosome",931801,"+",0.7794,11589,0.7793994412
"11590","chromosome",1751509,"+",0.7794,11590,0.7793994412
"11591","chromosome",4689564,"-",0.7794,11591,0.7793994412
"11592","chromosome",519367,"-",0.7793,11592,0.7792994414
"11593","chromosome",694584,"-",0.7793,11593,0.7792994414
"11594","chromosome",5656448,"-",0.7793,11594,0.7792994414
"11595","chromosome",114306,"+",0.7792,11595,0.7791994416
"11596","chromosome",741526,"-",0.7792,11596,0.7791994416
"11597","chromosome",4849768,"+",0.7792,11597,0.7791994416
"11598","chromosome",1821408,"+",0.7791,11598,0.7790994418
"11599","chromosome",3036656,"+",0.7791,11599,0.7790994418
"11600","chromosome",3328104,"-",0.7791,11600,0.7790994418
"11601","chromosome",3372899,"+",0.7791,11601,0.7790994418
"11602","chromosome",5401402,"+",0.7791,11602,0.7790994418
"11603","large.plasmid",120683,"-",0.7791,11603,0.7790994418
"11604","chromosome",431296,"+",0.7789,11604,0.7788994422
"11605","chromosome",610141,"-",0.7789,11605,0.7788994422
"11606","chromosome",899556,"+",0.7789,11606,0.7788994422
"11607","chromosome",2176570,"-",0.7789,11607,0.7788994422
"11608","chromosome",2660555,"+",0.7789,11608,0.7788994422
"11609","chromosome",4047957,"-",0.7789,11609,0.7788994422
"11610","chromosome",4524089,"-",0.7789,11610,0.7788994422
"11611","chromosome",5618149,"-",0.7789,11611,0.7788994422
"11612","chromosome",34487,"-",0.7788,11612,0.7787994424
"11613","chromosome",625213,"-",0.7788,11613,0.7787994424
"11614","chromosome",1100953,"+",0.7788,11614,0.7787994424
"11615","chromosome",1195692,"-",0.7788,11615,0.7787994424
"11616","chromosome",1344499,"-",0.7788,11616,0.7787994424
"11617","chromosome",1408372,"+",0.7788,11617,0.7787994424
"11618","chromosome",1781309,"+",0.7788,11618,0.7787994424
"11619","chromosome",2136678,"-",0.7788,11619,0.7787994424
"11620","chromosome",2157213,"-",0.7788,11620,0.7787994424
"11621","chromosome",2237786,"+",0.7788,11621,0.7787994424
"11622","chromosome",2408660,"-",0.7788,11622,0.7787994424
"11623","chromosome",2567027,"+",0.7788,11623,0.7787994424
"11624","chromosome",3419709,"-",0.7788,11624,0.7787994424
"11625","chromosome",3814213,"+",0.7788,11625,0.7787994424
"11626","chromosome",3944819,"-",0.7788,11626,0.7787994424
"11627","chromosome",3970164,"-",0.7788,11627,0.7787994424
"11628","chromosome",4211495,"+",0.7788,11628,0.7787994424
"11629","chromosome",5491600,"-",0.7788,11629,0.7787994424
"11630","chromosome",5501195,"-",0.7788,11630,0.7787994424
"11631","chromosome",5625750,"+",0.7788,11631,0.7787994424
"11632","chromosome",4832621,"-",0.7787,11632,0.7786994426
"11633","chromosome",5267846,"-",0.7787,11633,0.7786994426
"11634","chromosome",5460398,"-",0.7787,11634,0.7786994426
"11635","chromosome",1962799,"-",0.7786,11635,0.7785994428
"11636","chromosome",3055705,"-",0.7786,11636,0.7785994428
"11637","chromosome",3928192,"+",0.7786,11637,0.7785994428
"11638","chromosome",4564098,"-",0.7786,11638,0.7785994428
"11639","chromosome",2181373,"+",0.7785,11639,0.778499443
"11640","chromosome",3859469,"+",0.7785,11640,0.778499443
"11641","chromosome",3785001,"+",0.7784,11641,0.7783994432
"11642","large.plasmid",11370,"-",0.7782,11642,0.7781994436
"11643","large.plasmid",62695,"-",0.7782,11643,0.7781994436
"11644","large.plasmid",109566,"-",0.7782,11644,0.7781994436
"11645","chromosome",479850,"+",0.7778,11645,0.7777994444
"11646","chromosome",689277,"+",0.7778,11646,0.7777994444
"11647","chromosome",829617,"-",0.7778,11647,0.7777994444
"11648","chromosome",1082506,"+",0.7778,11648,0.7777994444
"11649","chromosome",1324772,"+",0.7778,11649,0.7777994444
"11650","chromosome",1373974,"+",0.7778,11650,0.7777994444
"11651","chromosome",1412987,"+",0.7778,11651,0.7777994444
"11652","chromosome",1484228,"+",0.7778,11652,0.7777994444
"11653","chromosome",1558247,"+",0.7778,11653,0.7777994444
"11654","chromosome",1570897,"+",0.7778,11654,0.7777994444
"11655","chromosome",1669016,"-",0.7778,11655,0.7777994444
